province_code,province_name,city,site_name,latitude,longitude,medium,contamination_type,contamination_group,site_count,cost_min_cad_per_tonne,cost_max_cad_per_tonne,cost_mid_cad_per_tonne,city_adjusted_mid_cad_per_tonne
ON,Ontario,Ottawa,350 King Edward (Former Bank of Canada Bldg),45.429740,-75.687650,Groundwater,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,350 King Edward (Former Bank of Canada Bldg),45.429740,-75.687650,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,350 King Edward (Former Bank of Canada Bldg),45.429740,-75.687650,Soil,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,350 King Edward (Former Bank of Canada Bldg),45.429740,-75.687650,Soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,3637 Bank Street,45.340804,-75.614105,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,3637 Bank Street,45.340804,-75.614105,Soil,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,3637 Bank Street,45.340804,-75.614105,Soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,3659 Carling Avenue,45.350416,-75.868965,Soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,"4727 Ridge Road, Ottawa, ON",45.394719,-75.562874,Groundwater,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,"4727 Ridge Road, Ottawa, ON",45.394719,-75.562874,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,"4727 Ridge Road, Ottawa, ON",45.394719,-75.562874,Soil,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,4787 Ridge Road,45.393740,-75.558366,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,4790 And 4800 Russell Rd,45.375192,-75.549854,Groundwater,"BTEXs (benzene, toluene, ethylbenzene, and xylene)",Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,4790 And 4800 Russell Rd,45.375192,-75.549854,Groundwater,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,4790 And 4800 Russell Rd,45.375192,-75.549854,Groundwater,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,4790 And 4800 Russell Rd,45.375192,-75.549854,Soil,"BTEXs (benzene, toluene, ethylbenzene, and xylene)",Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,4790 And 4800 Russell Rd,45.375192,-75.549854,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,4790 And 4800 Russell Rd,45.375192,-75.549854,Soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,555 Booth Street,45.402893,-75.705858,Groundwater,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,555 Booth Street,45.402893,-75.705858,Groundwater,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,555 Booth Street,45.402893,-75.705858,Surface soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,555 Booth Street,45.402893,-75.705858,Surface soil,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,597 Robertson Road,45.309102,-75.865360,Soil,"BTEXs (benzene, toluene, ethylbenzene, and xylene)",Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,597 Robertson Road,45.309102,-75.865360,Soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,605 Robertson Road,45.308952,-75.865724,Soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,80 Bayview Garage,45.408128,-75.726649,Groundwater,Halogenated Hydrocarbon,Industrial Acids/Solvents,1,450,900,675,688.5
ON,Ontario,Ottawa,80 Bayview Main Building,45.408637,-75.726977,Air,Halogenated Hydrocarbon,Industrial Acids/Solvents,1,450,900,675,688.5
ON,Ontario,Ottawa,80 Bayview Main Building,45.408637,-75.726977,Air,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
