province_code,province_name,city,site_name,latitude,longitude,contamination_group_count,contamination_groups,contamination_types,contamination_record_count,est_cost_min_cad_per_tonne,est_cost_max_cad_per_tonne,est_cost_avg_mid_cad_per_tonne
QC,Quebec,Montreal,Former Building 12,45.579700,-73.524400,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon)",2,180,280,230
QC,Quebec,Montreal,Former firefighter training site,45.468865,-73.747621,1,Oil/Petroleum (PHCs),PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons),2,180,280,230
QC,Quebec,Montreal,"Gaetan-Laberge Boulevard, North of HWY 15",45.474891,-73.549443,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",3,180,280,230
QC,Quebec,Montreal,"Gaetan-Laberge Boulevard, South of HWY 15, Montreal",45.470644,-73.561643,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon)",2,180,280,230
QC,Quebec,Montreal,Garage Construction LAV III,45.579700,-73.524400,1,Unknown,"Metal, metalloid, and organometallic",1,,,
QC,Quebec,Montreal,Hangar 10 local 151 drilling in floor of an old shop,45.577500,-73.516900,1,Unknown,"Metal, metalloid, and organometallic",1,,,
QC,Quebec,Montreal,"Highway 15, between Atwater and Gaetan-Laberge, Verdun, Montreal",45.471036,-73.544213,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon)",2,180,280,230
QC,Quebec,Montreal,Ile Sainte-Hélène,45.520630,-73.535190,1,Oil/Petroleum (PHCs),PHCs (petroleum hydrocarbons),1,180,280,230
QC,Quebec,Montreal,"Indoor Firing Range L-123, ASU LP",45.576000,-73.526000,1,Unknown,"Metal, metalloid, and organometallic",1,,,
QC,Quebec,Montreal,Installation of an APU at building L-193,45.576700,-73.521900,1,Oil/Petroleum (PHCs),PAHs (polycyclic aromatic hydrocarbon),1,180,280,230
QC,Quebec,Montreal,JCP- section 7 (Terrains au sud de Viger),45.522265,-73.545678,1,Oil/Petroleum (PHCs),PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons),2,180,280,230
QC,Quebec,Montreal,JCP- section 8 (entre Viger et Maisonneuve Est),45.523996,-73.549640,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",3,180,280,230
QC,Quebec,Montreal,JCP- section 9 (entre Ontario et Maisonneuve Est),45.525346,-73.553733,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",3,180,280,230
QC,Quebec,Montreal,"L-10 South, ASU LP",45.577500,-73.516900,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon)",2,180,280,230
QC,Quebec,Montreal,Lachine (rear range light),45.433130,-73.691960,1,Unknown,"Metal, metalloid, and organometallic",2,,,
QC,Quebec,Montreal,Layout of a salt shelter,45.575800,-73.525800,1,Oil/Petroleum (PHCs),PAHs (polycyclic aromatic hydrocarbon),1,180,280,230
QC,Quebec,Montreal,"Loading platform, L-3 North, ASU LP",45.577800,-73.526700,1,Unknown,"Metal, metalloid, and organometallic | Other Physical/Chemical (pH, temperature, dissolved solids, turbidity, etc.)",2,,,
QC,Quebec,Montreal,Longue Pointe Soil Clean-up,45.576100,-73.525200,1,Unknown,"Metal, metalloid, and organometallic",1,,,
QC,Quebec,Montreal,Lot 9 - former petroleum depot,45.468865,-73.747621,1,Oil/Petroleum (PHCs),PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons),2,180,280,230
QC,Quebec,Montreal,MMC,45.477814,-73.551406,2,Oil/Petroleum (PHCs) | Unknown,"BTEXs (benzene, toluene, ethylbenzene, and xylene) | Metal, metalloid, and organometallic | Other organics | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",10,180,280,230
QC,Quebec,Montreal,"Mechanical Workshop L-3 North, ASU LP",45.576000,-73.526000,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PHCs (petroleum hydrocarbons)",2,180,280,230
QC,Quebec,Montreal,"Mechanical Workshop, L-3, ASU Longue-Pointe South",45.576100,-73.525200,1,Unknown,"Metal, metalloid, and organometallic",2,,,
QC,Quebec,Montreal,Montreal soccer pitch,45.576500,-73.533300,3,Industrial Acids/Solvents | Unknown | Oil/Petroleum (PHCs),"Halogenated Hydrocarbon | Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",4,180,900,378.33
QC,Quebec,Montreal,Multipurpose runway Montreal Garrison north side,45.575800,-73.525800,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon)",2,180,280,230
QC,Quebec,Montreal,New Storage Area in Back of the Building,45.429400,-73.644700,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PHCs (petroleum hydrocarbons)",2,180,280,230
QC,Quebec,Montreal,Normand-Maurice Building,45.482024,-73.584026,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",3,180,280,230
QC,Quebec,Montreal,"Nun's Island Boulevard, Montreal",45.469234,-73.545800,1,Oil/Petroleum (PHCs),PAHs (polycyclic aromatic hydrocarbon),1,180,280,230
QC,Quebec,Montreal,"Nun's Island, Montreal",45.471036,-73.544213,1,Oil/Petroleum (PHCs),PAHs (polycyclic aromatic hydrocarbon),1,180,280,230
QC,Quebec,Montreal,Old Port of Montreal,45.505000,-73.550830,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",40,180,280,230
QC,Quebec,Montreal,Old Port of Montreal - Confinement Cell,45.493272,-73.552467,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon)",4,180,280,230
QC,Quebec,Montreal,Old Port of Montreal - Horloge Basin,45.505000,-73.550830,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",3,180,280,230
QC,Quebec,Montreal,"Outdoor Firing Range L-139, ASU LP",45.576000,-73.526000,1,Unknown,"Metal, metalloid, and organometallic",1,,,
