province_code,city,site_name,latitude,longitude,sand_score,clay_score,drainage_score,organic_score,score_formula,final_percentage
QC,Montreal,"Outdoor Firing Range L-139, ASU LP",45.576000,-73.526000,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Outside Building B,45.514878,-73.660694,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Parcel 1,45.480931,-73.538748,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Parcel 2,45.472620,-73.553790,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Parcel 3,45.472620,-73.553790,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Parcel 4,45.472620,-73.553790,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Parking - South Section (Notre Dame) ASU LP,45.576000,-73.526000,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,"Parking at south L-6, ASU LP",45.576000,-73.526000,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Pont Clément,45.475205,-73.541583,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Prairies River at Cheval Blanc Rapids,45.518300,-73.842500,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Putting drain arnd bldg L-42,45.574200,-73.519000,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,"Rene-Levesque Boulevard, North of HWY 15, Nun's Island",45.471000,-73.542000,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,"Rene-Levesque Boulevard, South of HWY 15, Nun's Island",45.469004,-73.535153,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,"Sector Slag Studies, ASU LP",45.576700,-73.521900,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 01.1,45.430100,-73.677550,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 01.2,45.432098,-73.679543,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 01.3,45.430801,-73.670532,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 02.1,45.431000,-73.666191,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 02.2.0,45.431314,-73.668306,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 02.3,45.431599,-73.665421,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 03.1,45.433498,-73.662918,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 03.2.1,45.435001,-73.659882,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 03.2.2,45.435600,-73.658173,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 03.2.3,45.435200,-73.658836,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 03.2.4,45.436100,-73.657227,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 03.3,45.432701,-73.662392,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 03.4,45.434399,-73.658562,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 03.5,45.435398,-73.656387,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 04.1.1,45.437500,-73.653458,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 04.1.2,45.438599,-73.651550,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 04.1.3,45.439499,-73.650681,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 04.2.1,45.439800,-73.649078,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 04.2.2,45.441002,-73.646759,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 04.2.3,45.441101,-73.646309,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 04.3,45.440800,-73.650078,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 04.4,45.435101,-73.656960,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 04.5,45.436798,-73.652908,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 04.6,45.437801,-73.652618,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 04.7,45.441601,-73.644951,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 05.1,45.442101,-73.643867,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 05.2,45.441299,-73.644241,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 05.4,45.439400,-73.647987,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 06.1,45.444199,-73.638519,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 06.2,45.443600,-73.638023,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 07.1 (north deposit site),45.448101,-73.630096,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 07.2,45.448200,-73.629692,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 07.3,45.448299,-73.628464,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 08.1,45.452900,-73.624130,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 08.2,45.453098,-73.622353,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 08.3,45.453899,-73.621231,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 08.5,45.457001,-73.615753,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 08.6  (north deposit site),45.457199,-73.616791,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 09.1 (North deposit site),45.460800,-73.606178,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 09.2,45.460602,-73.606361,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 09.3.1,45.462200,-73.600121,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 09.3.2,45.461300,-73.602280,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 09.3.3,45.460400,-73.604538,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 09.4,45.458500,-73.610580,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 1.2.1,45.431400,-73.672500,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 10.1,45.463299,-73.597809,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 10.2,45.462800,-73.598760,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 10.3,45.463402,-73.599159,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 10.4,45.463699,-73.598396,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Site 10.5,45.464600,-73.597130,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
