province_code,province_name,city,site_name,site_id,site_type,latitude,longitude,area_sqm,former_use,contamination_level,soil_suitability,transit_distance_m,infrastructure_readiness,activity_status,viability_score,estimated_units,estimated_remediation_cad,recommended_form
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5600,winnipeg-osm-parking-lot-57846856,parking_lot,49.7859103545455,-97.1534821272727,1200,surface parking,medium,73,67,88,likely_active,16,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5601,winnipeg-osm-parking-lot-57846858,parking_lot,49.79032554,-97.15814956,1743,surface parking,medium,73,85,88,likely_active,16,33,435750,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5602,winnipeg-osm-parking-lot-57846880,parking_lot,49.7894207882353,-97.1582820588235,3968,surface parking,medium,73,46,88,likely_active,16,75,992000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5603,winnipeg-osm-parking-lot-57846881,parking_lot,49.7897851916667,-97.1567539166667,1418,surface parking,medium,73,21,88,likely_active,16,27,354500,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5604,winnipeg-osm-parking-lot-57846889,parking_lot,49.7875266733333,-97.15363216,3318,surface parking,medium,73,62,88,likely_active,16,63,829500,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5605,winnipeg-osm-parking-lot-57846893,parking_lot,49.7885013185185,-97.1564064037037,27624,surface parking,medium,73,78,88,likely_active,29,522,6906000,mixed-use
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5606,winnipeg-osm-parking-lot-57882882,parking_lot,49.8154125714286,-97.1989873357143,2740,surface parking,medium,73,71,88,likely_active,16,52,685000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5607,winnipeg-osm-parking-lot-57882884,parking_lot,49.81736471,-97.1902585,1354,surface parking,medium,73,25,88,likely_active,16,26,338500,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5608,winnipeg-osm-parking-lot-57882887,parking_lot,49.8167296545455,-97.1951186227273,14273,surface parking,medium,73,73,88,likely_active,22,270,3568250,mid-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5609,winnipeg-osm-parking-lot-57882891,parking_lot,49.81861866,-97.18901376,2589,surface parking,medium,73,92,88,likely_active,16,49,647250,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5610,winnipeg-osm-parking-lot-57882892,parking_lot,49.8181688307692,-97.1908108076923,1200,surface parking,medium,73,43,88,likely_active,16,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5611,winnipeg-osm-parking-lot-57882911,parking_lot,49.8186462111111,-97.1876640555556,1200,surface parking,medium,73,42,88,likely_active,16,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5612,winnipeg-osm-parking-lot-57882912,parking_lot,49.819053175,-97.1884242333333,2231,surface parking,medium,73,95,88,likely_active,16,42,557750,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5613,winnipeg-osm-parking-lot-57882918,parking_lot,49.8182255555556,-97.1901205,1200,surface parking,medium,73,58,88,likely_active,16,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5614,winnipeg-osm-parking-lot-58357647,parking_lot,49.8204559666667,-97.1800213444444,1200,surface parking,medium,73,121,88,likely_active,16,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5615,winnipeg-osm-parking-lot-58360404,parking_lot,49.794484475,-97.158042,1200,surface parking,medium,73,41,88,likely_active,16,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5616,winnipeg-osm-parking-lot-58360407,parking_lot,49.7951390666667,-97.1581485333333,1449,surface parking,medium,73,47,88,likely_active,16,27,362250,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5617,winnipeg-osm-parking-lot-58360408,parking_lot,49.79264137,-97.15802033,1200,surface parking,medium,73,43,88,likely_active,16,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5618,winnipeg-osm-parking-lot-58360410,parking_lot,49.7944012777778,-97.1568659666667,1531,surface parking,medium,73,67,88,likely_active,16,29,382750,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5619,winnipeg-osm-parking-lot-58360414,parking_lot,49.7914682833333,-97.1579774333333,1200,surface parking,medium,73,87,88,likely_active,16,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5620,winnipeg-osm-parking-lot-58360415,parking_lot,49.7933731833333,-97.1577900833333,1200,surface parking,medium,73,67,88,likely_active,16,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5621,winnipeg-osm-parking-lot-58360424,parking_lot,49.7934338277778,-97.1568495833333,1200,surface parking,medium,73,81,88,likely_active,16,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5622,winnipeg-osm-parking-lot-58360436,parking_lot,49.79303635,-97.1578882833333,1200,surface parking,medium,73,67,88,likely_active,16,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5623,winnipeg-osm-parking-lot-58360438,parking_lot,49.7930633333333,-97.1569976666667,1200,surface parking,medium,73,55,88,likely_active,16,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5624,winnipeg-osm-parking-lot-58360440,parking_lot,49.7903445142857,-97.1568547,1200,surface parking,medium,73,61,88,likely_active,16,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5625,winnipeg-osm-parking-lot-58360442,parking_lot,49.7910251,-97.1580294285714,1200,surface parking,medium,73,59,88,likely_active,16,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5626,winnipeg-osm-parking-lot-58360452,parking_lot,49.7914116181818,-97.1570992909091,1200,surface parking,medium,73,65,88,likely_active,16,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5627,winnipeg-osm-parking-lot-58885440,parking_lot,49.84523451875,-97.182784525,1422,surface parking,medium,73,154,88,likely_active,12,27,355500,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5629,winnipeg-osm-parking-lot-59312686,parking_lot,49.8915307444444,-97.3289082111111,7115,surface parking,medium,73,934,88,likely_active,7,134,1778750,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5630,winnipeg-osm-parking-lot-59338939,parking_lot,49.799660475,-97.16569735,1376,surface parking,medium,73,154,88,likely_active,12,26,344000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5631,winnipeg-osm-parking-lot-60273887,parking_lot,49.8158391538462,-97.1771263307692,29440,surface parking,medium,73,104,88,likely_active,30,556,7360000,mixed-use
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5633,winnipeg-osm-parking-lot-60355304,parking_lot,49.8063764833333,-97.1412464,2525,surface parking,medium,73,72,88,likely_active,16,48,631250,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5634,winnipeg-osm-parking-lot-60415084,parking_lot,49.8094941692308,-97.1358846,4768,surface parking,medium,73,301,88,likely_active,9,90,1192000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5635,winnipeg-osm-parking-lot-60428211,parking_lot,49.811359775,-97.1387079625,22187,surface parking,medium,73,280,88,likely_active,23,419,5546750,mixed-use
