source_dataset,source_category,source_site_id,province_code,province_name,city,site_name,site_type,latitude,longitude,area_sqm,former_use,contamination_level,soil_suitability,transit_distance_m,infrastructure_readiness,activity_status,viability_score,estimated_units,estimated_remediation_cad,recommended_form,contamination_group_count,contamination_groups,contamination_types,contamination_record_count,est_cost_min_cad_per_tonne,est_cost_max_cad_per_tonne,est_cost_avg_mid_cad_per_tonne
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-24487569,ON,Ontario,Hamilton,Hamilton Parking Lot 1396,parking_lot,43.2964842125,-79.8829549125,1557,surface parking,medium,73,475,88,likely_active,8,29,389250,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-24835406,ON,Ontario,Hamilton,Hamilton Parking Lot 1397,parking_lot,43.2593179555556,-79.8686400666667,1200,surface parking,medium,73,57,88,likely_active,16,23,300000,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-25062818,ON,Ontario,Hamilton,Hamilton Parking Lot 1398,parking_lot,43.30058146,-79.84530058,3277,surface parking,medium,73,639,88,likely_active,4,62,819250,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-25062820,ON,Ontario,Hamilton,Hamilton Parking Lot 1399,parking_lot,43.3030556064516,-79.8459509258064,5708,surface parking,medium,73,661,88,likely_active,6,108,1427000,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-26297039,ON,Ontario,Hamilton,Hamilton Parking Lot 1402,parking_lot,43.3241687272727,-79.7980865636364,2246,surface parking,medium,73,156,88,likely_active,12,42,561500,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-26372128,ON,Ontario,Hamilton,Hamilton Parking Lot 1403,parking_lot,43.32567945,-79.7971165,1200,surface parking,medium,73,38,88,likely_active,16,23,300000,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-26377120,ON,Ontario,Hamilton,Hamilton Parking Lot 1404,parking_lot,43.18706622,-79.8120073,2166,surface parking,medium,73,427,88,likely_active,8,41,541500,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-26523635,ON,Ontario,Hamilton,Hamilton Parking Lot 1405,parking_lot,43.2271467428571,-79.79254,1210,surface parking,medium,73,60,88,likely_active,16,23,302500,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-26582970,ON,Ontario,Hamilton,Hamilton Parking Lot 1406,parking_lot,43.261392125,-79.88872444375,15394,surface parking,medium,73,124,88,likely_active,22,291,3848500,mid-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-26987476,ON,Ontario,Hamilton,Hamilton Parking Lot 1408,parking_lot,43.25594666,-79.86454658,3652,surface parking,medium,73,70,88,likely_active,16,69,913000,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-27206956,ON,Ontario,Hamilton,Hamilton Parking Lot 1409,parking_lot,43.2574857285714,-79.8734573142857,4820,surface parking,medium,73,52,88,likely_active,16,91,1205000,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-27766753,ON,Ontario,Hamilton,Hamilton Parking Lot 1410,parking_lot,43.3285975181818,-79.8209308545455,7388,surface parking,medium,73,44,88,likely_active,18,140,1847000,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-27766769,ON,Ontario,Hamilton,Hamilton Parking Lot 1411,parking_lot,43.3258569631579,-79.8189347105263,8315,surface parking,medium,73,67,88,likely_active,18,157,2078750,mid-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-27766783,ON,Ontario,Hamilton,Hamilton Parking Lot 1412,parking_lot,43.326984675,-79.8221766916667,6418,surface parking,medium,73,165,88,likely_active,14,121,1604500,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-27766804,ON,Ontario,Hamilton,Hamilton Parking Lot 1413,parking_lot,43.3250621111111,-79.8208781944444,20793,surface parking,medium,73,206,88,likely_active,22,393,5198250,mid-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-27766816,ON,Ontario,Hamilton,Hamilton Parking Lot 1414,parking_lot,43.3232501105263,-79.8182529526316,10175,surface parking,medium,73,202,88,likely_active,16,192,2543750,mid-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-27766826,ON,Ontario,Hamilton,Hamilton Parking Lot 1415,parking_lot,43.322864325,-79.81739866875,6101,surface parking,medium,73,237,88,likely_active,13,115,1525250,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-27766829,ON,Ontario,Hamilton,Hamilton Parking Lot 1416,parking_lot,43.3244784411765,-79.8177814470588,5529,surface parking,medium,73,60,88,likely_active,17,104,1382250,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-27897917,ON,Ontario,Hamilton,Hamilton Parking Lot 1417,parking_lot,43.2336816666667,-79.92810605,1200,surface parking,medium,73,77,88,likely_active,16,23,300000,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-27897964,ON,Ontario,Hamilton,Hamilton Parking Lot 1418,parking_lot,43.2388195625,-79.91944355,3995,surface parking,medium,73,162,88,likely_active,12,76,998750,low-rise,,,,,,,
